# run 1
CHANGE	eras/age_V/annals/age_V_01.json:EV-1007.body	the bridge at Cathair dhearg	->	Drochaid Cathair dhearg	|	 sent up by Pike, comes to the smiths' lane below the bridge at Cathair dhearg and works through the autumn 
LEFT	eras/age_V/gazetteer/10_the_posts_and_the_rending.json:212.history	the Residency	(no "the" before it)	|	 townsfolk called it the humans' second Residency, and did not mean it kindly. In the fir
LEFT	eras/age_V/appendices/A_rulers.md:66	the count of hands	(no "the" before it)	|	f the Company, and chose its heads by a count of hands in its hall. **Ùna nic Choinnich** stoo
LEFT	eras/age_V/appendices/B_faiths.md:31	the sacred forest	(another thing of the same English name)	|	their own houses and under the trees of the sacred forest of Flidais near Muileann chiar, and hel
LEFT	eras/age_V/appendices/C_hosts_wars.md:20	the dry cough	(no "the" before it)	|	**The coughing sickness** was a dry cough among the boys who broke coal at the pi
LEFT	eras/age_V/appendices/C_hosts_wars.md:54	the coal road	(no "the" before it)	|	 were at Muileann shean on the northern coal road and Tobar ghorm near the northern worki
LEFT	eras/age_V/appendices/D_reckoning.md:3	the treaty	(no "the" before it)	|	ion. Each change came in on paper, in a treaty or a contract or a schedule written in 
LEFT	eras/age_V/appendices/E_words.md:43	the Keeper	(no "the" before it)	|	lding that it was the gift of the kin's Keeper woken in the first king's line. The rol
LEFT	eras/age_V/appendices/E_words.md:61	the Stone	(no "the" before it)	|	r than a man can walk in one day.* Abel Stone's words for the black seam, the only word
# run 2
CHANGE	eras/age_V/book/10_of_the_law_that_went_out.md:43	The Law	->	Lagh an Loscaidh Bhig	|	arts never came up to the granary to be measured. The Law had been made when every coal
CHANGE	eras/age_V/book/10_of_the_law_that_went_out.md:47	the Law	->	Lagh an Loscaidh Bhig	|	The copyists have set that day against the end of the Law, for want of any other, and t
CHANGE	eras/age_V/book/10_of_the_law_that_went_out.md:47	the Law	->	Lagh an Loscaidh Bhig	|	d the keepers at the hill hearths tell the end of the Law as they would tell of a fire 
CHANGE	eras/age_V/book/10_of_the_law_that_went_out.md:49	the Law	->	Lagh an Loscaidh Bhig	|	letter had not come. Theirs was the older half of the Law, the count of the hill: how m
CHANGE	eras/age_V/book/10_of_the_law_that_went_out.md:59	the Law	->	Lagh an Loscaidh Bhig	|	It is the only defence of the Law that has come down. The copyi
CHANGE	eras/age_V/book/10_of_the_law_that_went_out.md:61	The Law	->	Lagh an Loscaidh Bhig	|	*The Law was made for the people more 
CHANGE	eras/age_V/book/10_of_the_law_that_went_out.md:61	the Law	->	Lagh an Loscaidh Bhig	|	t it pay the counters, and write in the roll that the Law stands. Our grandmothers' gra
CHANGE	eras/age_V/book/11_of_the_eleven_of_cnoc_fhiadhaich.md:33	the Law	->	Lagh an Loscaidh Bhig	|	 and the crews had had three hungry winters since the Law lapsed and the custodians' me
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:23	high custodian of the Council of Custodians	->	Ceann a' Chùraim	|	but had been asked to bless: the seating of a new high custodian of the Council of Custodians, the first in ten years.
LEFT	eras/age_V/annals/age_V_02.json:EV-1554.body	the Stone	(no "the" before it)	|	Abel Stone and Hugh Mercer come up the road to Mui
LEFT	eras/age_V/annals/age_V_02.json:EV-1555.body	the Stone	(no "the" before it)	|	even days Raghnall mac Dhòmhnaill leads Stone and Mercer through the hills north and 
LEFT	eras/age_V/annals/age_V_02.json:EV-1511.body	the Stone	(no "the" before it)	|	Abel Stone brings the first contract of A' Chompan
LEFT	eras/age_V/annals/age_V_02.json:EV-1512.body	the Stone	(no "the" before it)	|	Abel Stone names Raghnall mac Dhòmhnaill, who walk
LEFT	eras/age_V/annals/age_V_02.json:EV-1558.body	the Stone	(no "the" before it)	|	 At dusk the clerk adds his figures and Stone calls out one ton, the first coal of th
LEFT	eras/age_V/annals/age_V_05.json:EV-3066.body	the beacon at Muileann bheag	(no "the" before it)	|	omplaint laid by the keepers of the new beacon at Muileann bheag. He rides three days by mule-track and 
LEFT	eras/age_V/annals/age_V_07.json:EV-4031.title	the first fire	(no "the" before it)	|	The dissenters' first fire under the oaks
LEFT	eras/age_V/annals/age_V_10.json:EV-5513.body	the coal-touched	(no "the" before it)	|	When Taigh an Àrd-mhaoir's orders every coal-touched child reported to An t-Àrd-mhaor's offi
LEFT	eras/age_V/annals/age_V_10.json:EV-5514.body	the coal-touched	(no "the" before it)	|	A' Chompanaidh whether she knows of any coal-touched child in her district, a custodian of C
LEFT	eras/age_V/annals/age_V_12.json:EV-6502.body	the coal road	(no "the" before it)	|	ies Uilleam Gobha's grenades up the cut coal road to the crews waiting at the ford of Àth
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:95	the Stone	(no "the" before it)	|	ard across the river; his name was Abel Stone. The other was younger and taller and s
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:99	the Stone	(no "the" before it)	|	 wife lent Mercer a dry shirt. But when Stone spread his hands and said "Coal?" and p
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:103	the Stone	(no "the" before it)	|	Stone had taken a coin out of his purse and l
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:117	the Stone	(no "the" before it)	|	They were eleven days on the hill. Stone and Mercer knew what they were looking 
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:117	the Stone	(no "the" before it)	|	ds that got better as the days went on. Stone wanted water: streams, gullies, the pla
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:119	the Stone	(no "the" before it)	|	It showed. In the second gully Stone went down on his knees in the wet and s
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:119	the Stone	(no "the" before it)	|	e turf like a black river under a bank. Stone broke off a piece and turned it in his 
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:125	the Stone	(no "the" before it)	|	own him a pebble, and said something to Stone, and Stone laughed, not unkindly, and s
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:125	the Stone	(no "the" before it)	|	ebble, and said something to Stone, and Stone laughed, not unkindly, and said a word 
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:127	the Stone	(no "the" before it)	|	e paces from the last. On the fifth day Stone took to walking the seam. He went along
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:129	the Stone	(no "the" before it)	|	ks down on the valley of Abhainn uaine, Stone stopped on a knoll in the evening and l
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:129	the Stone	(no "the" before it)	|	g to Mercer. Mercer wrote it down. Then Stone turned to Raghnall and said, slowly, in
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:135	the Stone	(no "the" before it)	|	ight they camped under a peat-bank, and Stone and Mercer drank from a flask and talke
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:137	the Stone	(no "the" before it)	|	ack on his own back the last miles, and Stone and Mercer each carried one, and all th
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:137	the Stone	(no "the" before it)	|	em were black to the elbow. At the mill Stone paid him the coin. Raghnall took it and
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:149	the Stone	(no "the" before it)	|	t read it either. He counted the sacks. Stone had filled thirteen.
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:175	the Stone	(no "the" before it)	|	Abel Stone brought them. He came up the road to Mu
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:181	the Stone	(no "the" before it)	|	When the reading was done Stone looked round the room and found Raghnal
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:197	the Stone	(no "the" before it)	|	below the old cutting, in a gully where Stone had broken the seam the winter before; 
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:199	the Stone	(no "the" before it)	|	Stone had the beam set up that afternoon at t
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:201	the Stone	(no "the" before it)	|	added his figures and said something to Stone, and Stone turned round to the crew and
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:201	the Stone	(no "the" before it)	|	igures and said something to Stone, and Stone turned round to the crew and held up on
LEFT	eras/age_V/book/11_of_the_eleven_of_cnoc_fhiadhaich.md:25	the Stone	(no "the" before it)	|	e agent could not see it, any more than Stone and Mercer had seen the green in the sa
LEFT	eras/age_V/book/11_of_the_eleven_of_cnoc_fhiadhaich.md:71	the dry cough	(no "the" before it)	|	It was a dry cough. It had no wet in it and no fever, whic
LEFT	eras/age_V/book/18_of_lowes_spade.md:75	the column near Cnoc ghorm	(no "the" before it)	|	iar, weathered past most reading, and a column near Cnoc ghorm that stood a little taller and a little
LEFT	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:83	the Company	(no "the" before it)	|	 and steady against a hard wind, that a Company which begrudged a stone a gallery to th
LEFT	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:109	the strike at Baile thais	(no "the" before it)	|	ore than a week's grain against her own strike at Baile thais, years before she ever came east, and t
LEFT	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:43	the sacred forest	(another thing of the same English name)	|	h took their pupils under the trees, to the sacred forest of Flidais near Muileann chiar, where t
LEFT	eras/age_V/book/24_of_gorta_baile_chrom.md:40	the Levy	(no "the" before it)	|	panaidh's charge, being the party whose Levy had emptied the fields, and A' Chompana
LEFT	eras/age_V/book/28_of_the_law_of_one_line.md:33	the Residency	(no "the" before it)	|	know what a marriage entered in its own Residency's register is, or say plainly that it doe
LEFT	eras/age_V/book/28_of_the_law_of_one_line.md:75	the burial club	(no "the" before it)	|	oc chaol, calling itself no more than a burial club, the kind of quiet society that put a l
LEFT	eras/age_V/book/28_of_the_law_of_one_line.md:81	the burial club	(no "the" before it)	|	ng there, to be a good deal more than a burial club, though nobody that day said so aloud a
LEFT	eras/age_V/book/28_of_the_law_of_one_line.md:81	the burial club	(no "the" before it)	|	s own members and nothing so plain as a burial club at all, though the name it gave A' Chom
LEFT	eras/age_V/book/29_of_the_night_shift.md:19	the coal road	(no "the" before it)	|	ten, and it cost the carters of the old coal road their whole trade inside two years; the
LEFT	eras/age_V/book/29_of_the_night_shift.md:35	the burial club	(no "the" before it)	|	egun four years before under cover of a burial club, at Baile thais and at Cnoc chaol both,
LEFT	eras/age_V/book/29_of_the_night_shift.md:65	the Company	(no "the" before it)	|	that same evening; a man who has kept a Company's staff two-and-thirty years learns to re
LEFT	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:23	the three households	(no "the" before it)	|	ce by the hand that copies it fair; and three households reading, winter on winter, the whole re
LEFT	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:123	the coal-touched	(no "the" before it)	|	s required it, in the humans' tongue as coal-touched.
LEFT	eras/age_V/book/31_of_the_line_of_aisling.md:101	the coal-touched	(no "the" before it)	|	isling, not Fionnan, not any child born coal-touched in the years that followed, though ever
LEFT	eras/age_V/book/31_of_the_line_of_aisling.md:119	the Administration	(no "the" before it)	|	n his last years, writing letters to an Administration that dismissed him for the writing of t
LEFT	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:15	the coal road	(no "the" before it)	|	onth, at Muileann shean on the northern coal road: a low stone house with a yard for hors
LEFT	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:15	the Residency	(no "the" before it)	|	 for. They called it the humans' second Residency, and did not mean it kindly, and the na
LEFT	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:57	the Church	(no "the" before it)	|	own. "We keep no watch with the humans' Church," said the custodian of Baile chrom's l
LEFT	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:61	the Spirit	(no "the" before it)	|	h Fiadhaich, the wild goose of your own Spirit, and your minister cannot find it in hi
LEFT	eras/age_V/book/35_of_the_houses_on_the_roads.md:24	the Company	(no "the" before it)	|	 three different flags of custodian and Company both, took to being paid, for certain n
LEFT	eras/age_V/book/38_of_the_leaden_hawk.md:63	the Residency	(no "the" before it)	|	hes and a few crates of cartridges to a Residency that had asked for regiments, and saile
LEFT	eras/age_V/book/40_of_the_truce_and_the_closing_of_the_crossing.md:12	the Administration	(no "the" before it)	|	arliest years, before there had been an Administration to house. He had been a soldier before 
LEFT	eras/age_V/book/40_of_the_truce_and_the_closing_of_the_crossing.md:90	the Residency	(no "the" before it)	|	etter-books left behind in the stripped Residency and whatever else had not gone west wit
LEFT	eras/age_V/gazetteer/01_west_coast_and_capital.json:282.history	the three ships	(no "the" before it)	|	 of Dia-thìr to see the strangers, when three ships lay off its cape in the first year and 
LEFT	eras/age_V/gazetteer/05_silver_and_the_north_west.json:419.history	the count of hands	(no "the" before it)	|	tnership in the sixty-seventh year by a count of hands in its hall, and in the years before th
LEFT	eras/age_V/gazetteer/07_baile_thais_and_the_middle_country.json:44.history	the burial club	(no "the" before it)	|	ag's search for an old law of rest. Its burial club became Faire nan Lòchran, which kept a 
LEFT	eras/age_V/gazetteer/10_the_posts_and_the_rending.json:212.history	the king-lists	(no "the" before it)	|	 mill of the north, whose wheel the old king-lists already call ancient, took Merriman's f
LEFT	eras/age_V/gazetteer/10_the_posts_and_the_rending.json:212.history	the coal road	(no "the" before it)	|	 with a yard for horses on the northern coal road. The townsfolk called it the humans' se
LEFT	eras/age_V/gazetteer/10_the_posts_and_the_rending.json:212.history	the Residency	(no "the" before it)	|	 townsfolk called it the humans' second Residency, and did not mean it kindly. In the fir
LEFT	eras/age_V/appendices/A_rulers.md:66	the count of hands	(no "the" before it)	|	' Chompanaidh, and chose its heads by a count of hands in its hall. **Ùna nic Choinnich** stoo
LEFT	eras/age_V/appendices/B_faiths.md:31	the sacred forest	(another thing of the same English name)	|	their own houses and under the trees of the sacred forest of Flidais near Muileann chiar, and hel
LEFT	eras/age_V/appendices/C_hosts_wars.md:20	the dry cough	(no "the" before it)	|	**The coughing sickness** was a dry cough among the boys who broke coal at the pi
